epoch,loss,best_loss
1,11.373006655592159,11.373006655592159
2,1.0733202599955933,1.0733202599955933
3,0.5375820224886433,0.5375820224886433
4,0.4491238935541989,0.4491238935541989
5,0.3849230582788149,0.3849230582788149
6,0.339466407882244,0.339466407882244
7,0.28670387278234155,0.28670387278234155
8,0.26143993219425093,0.26143993219425093
9,0.2151999799566384,0.2151999799566384
10,0.20110545924688167,0.20110545924688167
11,0.1890459473364093,0.1890459473364093
12,0.18510890618308168,0.18510890618308168
13,0.17342861374016733,0.17342861374016733
14,0.1710766830932532,0.1710766830932532
15,0.16858451763662613,0.16858451763662613
16,0.16005257085947028,0.16005257085947028
17,0.1580046092882279,0.1580046092882279
18,0.15670604377260758,0.15670604377260758
19,0.15566926059550773,0.15566926059550773
20,0.15374652586213525,0.15374652586213525
21,0.15138747720586337,0.15138747720586337
22,0.1493448892304178,0.1493448892304178
23,0.1488188883896108,0.1488188883896108
24,0.14651215208943574,0.14651215208943574
25,0.14548969515933902,0.14548969515933902
26,0.14888846442474146,0.14548969515933902
27,0.14764050695311823,0.14548969515933902
28,0.14434805668664383,0.14434805668664383
29,0.14485293408277933,0.14434805668664383
30,0.14462388456193923,0.14434805668664383
